id,lat,lon,mean_tmin
USC00113455,40.8822,-91.0233,5.771577339627885
USC00393868,43.9342,-103.5572,-2.17212596259626
USC00476827,43.0514,-91.135,3.295701139953303
USC00115493,42.3097,-88.2533,3.615951172678644
USC00158432,38.4947,-83.0183,5.876844432163579
USC00472556,44.7303,-92.4586,1.2077851790174843
USW00093823,39.45,-87.3,7.419437939110072
USC00338609,40.8494,-84.5808,5.456013840830453
USC00130385,41.7069,-94.9222,2.2914070141120573
USC00211691,45.5794,-94.3919,2.048045467147214
USC00394037,44.0031,-97.5286,1.670955717906665
USC00477148,43.2111,-88.2089,2.585463000404369
USW00094899,47.4675,-87.875,2.6316991643454037
USC00153250,38.78,-84.895,5.940204634366536
USW00003960,38.5639,-90.1486,7.9461655172413765
USC00123082,40.2986,-86.5067,5.997875931917288
USC00203099,44.9072,-84.7189,1.9089693593314767
USR0000NKIN,42.7239,-102.9714,4.179141785863075
USC00395891,43.8878,-100.7075,2.790442794279428
USC00473116,43.6308,-87.7997,3.582637489202418
USW00094976,44.45,-95.8167,2.813583375570197
USC00136910,40.8192,-92.9028,6.4385891420911525
USC00252680,42.1717,-100.0106,2.6049336128581406
USC00129905,40.5619,-86.3422,4.556091030789825
USW00023064,37.9219,-100.7242,5.0138465760944175
USC00215392,45.7533,-93.6617,0.08224526162319873
USW00004847,41.8678,-84.0794,4.7739407366380515
USC00112931,38.3906,-88.3503,7.85802752293578
USC00131354,40.7325,-92.89,4.195225422667504
USC00232850,38.2325,-90.3981,7.374481268011526
USC00131257,42.2978,-91.0117,2.9501057380516
USW00003947,39.2975,-94.7308,7.479986310746065
USW00014950,41.1008,-92.4444,4.887390350877193
USC00124260,39.7067,-86.2808,7.0603555555555575
USC00135796,40.96,-91.585,4.899184581171238
USC00441999,37.0817,-80.135,5.708227344992055
USW00013980,37.155,-98.0283,7.847740963855421
USC00201492,45.6522,-84.4725,1.925502893359052
USC00251575,42.8083,-103.0533,0.3450467562828755
USC00117876,39.4078,-88.7739,6.874493867297179
USC00476208,44.8919,-87.955,1.4969616353962467
USC00237398,38.6853,-90.5233,8.189188794864315
USC00399337,45.4078,-96.8619,0.5534291876347947
USC00460102,37.7272,-80.6583,5.36300594004697
