longitude,latitude
-82.1667,42.8833
147.5167,-22.3833
-96.6198,39.1917
-84.2497,30.5348
-122.6965,40.9826
81.03,16.25
-114.7667,54.8667
-37.38,-8.32
-94.6931,38.7994
151.8,-27.35
153.1594,-28.0867
-121.7,49.0833
-124.1653,40.7687
-107.6129,37.3129
27.917,-15.767
141.2853,-22.3736
19.69,64.39
-92.9233,43.3817
-116.9863,33.9979
-77.675,36.1686
-85.5053,38.296
115.9225,-32.8356
-89.85,19.7167
-89.1217,36.7583
-122.8226,42.2774
-84.5187,38.0163
49.483,49.667
-111.8131,33.3292
-97.3356,35.1036
-115.0,54.0167
-127.2167,54.8167
-98.1444,29.331
-122.6,58.8333
-85.5164,36.1453
-75.7113,40.779
-85.131,41.3308
153.0683,-29.9179
-76.5333,41.1167
-81.125,46.4185
-96.404,30.1794
-47.57,-21.13
-93.289,44.91
-99.2781,29.8323
27.35,-23.4
-36.04,-9.15
150.3167,-32.4194
-104.9431,39.7284
-83.8097,45.4137
-45.15,-22.9
-105.0869,40.3756
-113.2167,51.1
-99.9385,28.8537
-88.5418,36.5885
-82.9442,40.1267
-96.6938,33.1706
-99.1667,19.35
-95.8177,29.8121
-103.3105,44.0028
-86.7427,33.4543
-86.7603,41.4123
-42.35,-16.8
-97.3,19.3
-81.7452,28.5416
-101.1167,20.5167
-103.41,43.9039
-97.7589,30.7239
-86.117,38.6071
-122.5698,38.079
-107.8183,32.1665
143.4167,-36.3833
-104.8164,38.8568
151.2833,-27.8
-98.7987,47.5949
-111.5978,31.9603
-86.1346,39.8949
146.7311,-43.1017
-85.9032,32.9997
-81.7682,36.1912
-92.342,34.7724
-122.905,46.9736
-80.7,38.1932
-75.4,41.4167
76.83,28.45
-85.9675,41.6425
78.23,15.33
-80.213,26.3946
-89.241,37.5335
-73.1922,42.7156
-86.9533,31.445
-103.5765,30.269
-123.3312,39.2206
136.117,-1.183
-113.43,46.41
-123.7167,48.8167
149.4833,-31.5833
-79.4167,46.3667
88.317,26.633
-101.4167,26.9
-96.3167,39.5
145.2908,-40.7636
-77.6935,38.2419
-79.7261,37.2936
-94.85,31.3167
-82.9933,32.4952
118.9667,-30.9833
-72.8167,45.15
-87.2796,41.5585
-123.1868,42.4926
-82.8333,42.1667
-93.3652,44.9463
-91.65,39.1
-99.933,16.833
-96.5,35.5
117.6703,-28.0411
-89.0308,37.7737
-86.6506,46.4119
5.9331,52.0
-101.1667,50.6
-92.2658,44.4283
15.92,64.5697
88.5,26.92
-97.2264,31.4619
-104.3833,29.55
49.25,39.4
-105.9081,33.672
-83.5219,34.6403
139.4542,-35.2546
-79.4,43.1833
-97.4749,30.1474
-75.7973,36.0786
-73.247,41.1587
146.6,-38.3833
-75.5179,39.1611
-47.63,-21.73
-39.67,-6.25
-159.6758,21.9592
-47.86,-7.86
-73.6386,45.5314
42.717,9.333
-119.65,48.6333
-98.85,21.1333
-86.2213,41.0703
-85.3667,38.4333
-93.0338,34.6642
62.35,35.2831
-76.9673,35.7426
-86.1667,34.2333
-96.1867,31.267
-115.8833,48.7167
-99.9189,47.3014
-114.0144,50.9192
-82.4885,27.261
-105.0298,39.635
148.0678,-42.0692
-99.3797,35.631
141.2892,-21.2719
-105.7895,39.948
-121.2794,38.7626
122.6667,-33.8
-39.72,-15.14
147.1317,-38.1072
-104.737,38.8711
-66.117,-11.0
152.1917,-25.8197
-76.285,43.0105
-48.61,-14.02
-105.1307,38.9314
-85.7389,37.5844
-159.6333,22.1333
-111.8734,33.3414
2.8728,42.7369
-72.6153,44.5328
-81.4547,30.2685
-72.3081,43.6703
-121.0578,37.0533
30.93,-29.03
-123.1333,49.3667
-133.3833,62.3667
-94.8167,44.1167
-100.5195,43.8656
-87.1514,37.235
-82.6158,29.0253
-96.8531,33.7953
143.5,-35.2
-117.7833,70.7333
144.8,-37.7
-93.4,35.7167
-120.6719,44.3156
-81.7167,47.6833
-100.513,40.6335
27.9,-26.45
22.37,-29.3
-74.25,42.3
84.7,19.12
-101.7514,38.8961
-65.8283,18.3578
-84.0919,37.0683
-103.2108,44.0728
-84.6719,33.4413
-54.24,-22.41
-106.8667,32.1167
-115.15,67.8167
148.9341,-36.4645
